洗 -&nbsp;xǐ	to wash
<div>after that</div>	然后 -&nbsp;ránhòu
然后 -&nbsp;ránhòu	after that
<div>breakfast</div>	早饭 -&nbsp;zǎofàn
早饭 -&nbsp;zǎofàn	breakfast
<div>be less than</div>	差 -&nbsp;chà
差 -&nbsp;chà	be less than
<div>quarter (hour)</div>	刻 -&nbsp;kè
刻 -&nbsp;kè	quarter (hour)
<div>classroom</div>	教室 -&nbsp;jiàoshì
教室 -&nbsp;jiàoshì	classroom
<div>to begin</div>	开始 -&nbsp;kāishǐ
开始 -&nbsp;kāishǐ	to begin
<div>afternoon</div>	下午 -&nbsp;xiàwǔ
下午 -&nbsp;xiàwǔ	afternoon
<div>frequently</div>	常常 -&nbsp;chángcháng
常常 -&nbsp;chángcháng	frequently
<div>evening</div>	晚上 -&nbsp;wǎnshang
晚上 -&nbsp;wǎnshang	evening
<div>sometimes</div>	有时候 -&nbsp;yǒu shíhou
有时候 -&nbsp;yǒu shíhou	sometimes
<div>television</div>	电视 -&nbsp;diànshì
电视 -&nbsp;diànshì	television
<div>to go online, surf the internet</div>	上网&nbsp;shàng wǎng
上网&nbsp;shàng wǎng	to go online, surf the internet
<div>now, at present</div>	现在 -&nbsp;xiànzài
现在 -&nbsp;xiànzài	now, at present
<div>matter</div>	事 -&nbsp;shì
事 -&nbsp;shì	matter
<div>to open</div>	开 -&nbsp;kāi
开 -&nbsp;kāi	to open
<div>gate</div>	门 -&nbsp;mén
门 -&nbsp;mén	gate
<div>to close</div>	关 -&nbsp;guān
关 -&nbsp;guān	to close
<div>tomorrow</div>	明天 -&nbsp;míngtiān
明天 -&nbsp;míngtiān	tomorrow
<div>arrangement</div>	安排 -&nbsp;ānpái
安排 -&nbsp;ānpái	arrangement
<div>morning</div>	上午 -&nbsp;shàng wǔ
上午 -&nbsp;shàng wǔ	morning
<div><div>friend</div></div>	朋友 -&nbsp;péngyou
朋友 -&nbsp;péngyou	friend
<div>to meet</div>	见面 -&nbsp;jiàn miàn
见面 -&nbsp;jiàn miàn	to meet
<div>movie</div>	电影 -&nbsp;diànyǐng
电影 -&nbsp;diànyǐng	movie
<div>goodbye</div>	再见 -&nbsp;zàijiàn
再见 -&nbsp;zàijiàn	goodbye
<div>city</div>	城市 -&nbsp;chéngshì
城市 -&nbsp;chéngshì	city
<div>park</div>	公园 -&nbsp;gōngyuán
公园 -&nbsp;gōngyuán	park
<div>there</div>	那里 -&nbsp;nàli
那里 -&nbsp;nàli	there
<div>mountain</div>	山 -&nbsp;shān
山 -&nbsp;shān	mountain
<div>water</div>	水 -&nbsp;shuǐ
水 -&nbsp;shuǐ	water
<div>tree</div>	树 -&nbsp;shù
树 -&nbsp;shù	tree
<div>flower</div>	花 -&nbsp;huā
花 -&nbsp;huā	flower
<div>scenery</div>	风景 -&nbsp;fēngjǐng
风景 -&nbsp;fēngjǐng	scenery
<div>very much</div>	非常 -&nbsp;fēicháng
非常 -&nbsp;fēicháng	very much
<div>pretty</div>	漂亮 -&nbsp;piàoliang
漂亮 -&nbsp;piàoliang	pretty
<div>air</div>	空气 -&nbsp;kōngqì
空气 -&nbsp;kōngqì	air
<div>fresh</div>	新鲜 -&nbsp;xīnxiān
新鲜 -&nbsp;xīnxiān	fresh
<div>many</div>	多 -&nbsp;duō
多 -&nbsp;duō	many
<div>to climb a mountain</div>	爬山 -&nbsp;pá shān
爬山 -&nbsp;pá shān	to climb a mountain
<div>to climb</div>	爬 -&nbsp;pá
爬 -&nbsp;pá	to climb
<div>to breathe</div>	呼吸 -&nbsp;hūxī
呼吸 -&nbsp;hūxī	to breathe
<div>busy</div>	忙 -&nbsp;máng
忙 -&nbsp;máng	busy
<div>to hear (sth said)</div>	听说 -&nbsp;tīngshuō
听说 -&nbsp;tīngshuō	to hear (sth said)
<div>to set off</div>	出发 -&nbsp;chūfā
出发 -&nbsp;chūfā	to set off
<div>to try to find</div>	找 -&nbsp;zhǎo
找 -&nbsp;zhǎo	to try to find
<div>everyone</div>	大家 -&nbsp;dàjiā
大家 -&nbsp;dàjiā	everyone
<div>tired</div>	累 -&nbsp;lèi
累 -&nbsp;lèi	tired
